
threshold	model	auroc_mean
0.6	logreg_elastic	0.7975555555555556
0.6	logreg_l2	0.7972962962962964
0.6	catboost	0.7707870370370371
0.6	rf	0.7694814814814815
0.6	gb	0.7689999999999999
0.6	svm_rbf	0.7631944444444445
0.6	xgb	0.7593148148148148
0.6	lgbm	0.7412962962962963
0.65	logreg_elastic	0.8044542124542124
0.65	logreg_l2	0.8042686202686202
0.65	catboost	0.7811965811965811
0.65	gb	0.7794090354090353
0.65	svm_rbf	0.7774554334554334
0.65	rf	0.7757216117216117
0.65	xgb	0.7576459096459097
0.65	lgbm	0.7547350427350429
0.7	logreg_elastic	0.8007619047619047
0.7	logreg_l2	0.8003809523809524
0.7	gb	0.7777777777777778
0.7	catboost	0.7772910052910053
0.7	rf	0.7713386243386243
0.7	svm_rbf	0.7697566137566136
0.7	xgb	0.7658095238095238
0.7	lgbm	0.7543703703703705
0.75	logreg_elastic	0.8007822222222224
0.75	logreg_l2	0.8006281481481482
0.75	catboost	0.7774103703703703
0.75	gb	0.7726103703703704
0.75	rf	0.7684859259259259
0.75	xgb	0.7642192592592593
0.75	svm_rbf	0.7608059259259259
0.75	lgbm	0.7601185185185186
0.8	logreg_elastic	0.8107083333333331
0.8	logreg_l2	0.810375
0.8	catboost	0.7965555555555556
0.8	gb	0.7924791666666666
0.8	xgb	0.7886666666666667
0.8	lgbm	0.7861805555555555
0.8	rf	0.783236111111111
0.8	svm_rbf	0.7715972222222223
0.85	logreg_elastic	0.8239477124183006
0.85	logreg_l2	0.8237908496732025
0.85	catboost	0.8123921568627452
0.85	gb	0.8023790849673202
0.85	xgb	0.7988148148148148
0.85	rf	0.7940653594771241
0.85	lgbm	0.7829019607843136
0.85	svm_rbf	0.7779346405228759
0.9	logreg_elastic	0.8494074074074074
0.9	logreg_l2	0.8493086419753088
0.9	gb	0.8323827160493827
0.9	catboost	0.8297530864197531
0.9	rf	0.8155432098765433
0.9	xgb	0.8085432098765433
0.9	lgbm	0.7900246913580247
0.9	svm_rbf	0.7824444444444444
