
	threshold	percentile	cutoff_TG4h_mgdl	model	auroc_mean	auroc_std	brier_mean	brier_std	f1_mean	recall_mean	precision_mean	acc_mean
0	0.60	60.0	431.528475	logreg_l2	0.797296	0.013149	0.185675	0.005143	0.668458	0.708333	0.633472	0.719333
1	0.60	60.0	431.528475	logreg_elastic	0.797556	0.013283	0.185584	0.005210	0.668458	0.708333	0.633472	0.719333
2	0.60	60.0	431.528475	rf	0.769481	0.024551	0.189914	0.009507	0.614503	0.596667	0.633584	0.700667
3	0.60	60.0	431.528475	gb	0.769000	0.016247	0.192187	0.006232	0.621750	0.621667	0.623088	0.698000
4	0.60	60.0	431.528475	xgb	0.759315	0.018822	0.203571	0.009774	0.606067	0.603333	0.609166	0.686667
5	0.60	60.0	431.528475	lgbm	0.741296	0.019649	0.238424	0.014408	0.599341	0.611667	0.587868	0.673333
6	0.60	60.0	431.528475	catboost	0.770787	0.015857	0.191574	0.006765	0.634330	0.635000	0.634272	0.707333
7	0.60	60.0	431.528475	svm_rbf	0.763194	0.019955	0.192424	0.007252	0.615240	0.603333	0.628281	0.698000
8	0.65	65.0	461.125716	logreg_l2	0.804269	0.024279	0.183835	0.010428	0.643943	0.712381	0.588678	0.724667
9	0.65	65.0	461.125716	logreg_elastic	0.804454	0.024370	0.183744	0.010473	0.643943	0.712381	0.588678	0.724667
10	0.65	65.0	461.125716	rf	0.775722	0.025787	0.182224	0.008727	0.553311	0.512381	0.609615	0.712667
11	0.65	65.0	461.125716	gb	0.779409	0.023021	0.181828	0.009157	0.569735	0.537143	0.609953	0.716667
12	0.65	65.0	461.125716	xgb	0.757646	0.025476	0.198095	0.013832	0.539619	0.508571	0.576593	0.697333
13	0.65	65.0	461.125716	lgbm	0.754735	0.026700	0.224913	0.017816	0.573528	0.579048	0.570771	0.700000
14	0.65	65.0	461.125716	catboost	0.781197	0.025752	0.182157	0.011120	0.556618	0.520000	0.603267	0.710667
15	0.65	65.0	461.125716	svm_rbf	0.777455	0.029792	0.181473	0.009785	0.561115	0.518095	0.616572	0.717333
